beta1,alpha,R0,class,max_re,max_im
0.12,2.7978260869565217,5.692050632694505,endemic_spiral,-0.010684403177304562,0.037437854313845664
0.12,2.9695652173913043,5.974050504392213,endemic_spiral,-0.011134944495110972,0.0383564395200794
0.12,3.141304347826087,6.25605037608992,endemic_spiral,-0.011583725024613538,0.03924408820231853
0.12,3.3130434782608695,6.538050247787629,endemic_spiral,-0.01203080070150573,0.04010302681865979
0.12,3.484782608695652,6.820050119485336,endemic_spiral,-0.012476217352701902,0.04093520863286548
0.12,3.6565217391304348,7.102049991183042,endemic_spiral,-0.012920012394707305,0.041742359577780476
0.12,3.8282608695652174,7.384049862880751,endemic_spiral,-0.01336221688728475,0.04252601480587081
0.12,4.0,7.666049734578458,endemic_spiral,-0.013802856485122078,0.04328754766322002
0.14,0.05,1.2785741596939268,endemic_spiral,-0.0031061352414344656,0.012378299919706992
0.14,0.2217391304347826,1.5605740313916345,endemic_spiral,-0.0036962124270286676,0.01628365894156756
0.14,0.3934782608695652,1.8425739030893422,endemic_spiral,-0.004242930931615084,0.019010493405140143
0.14,0.5652173913043479,2.12457377478705,endemic_spiral,-0.004763020802362742,0.021223208492482763
0.14,0.7369565217391305,2.4065736464847576,endemic_spiral,-0.005266377135224096,0.023137283576407618
0.14,0.9086956521739131,2.688573518182465,endemic_spiral,-0.005758500898464049,0.02485013802631057
0.14,1.0804347826086957,2.9705733898801725,endemic_spiral,-0.006242599780727108,0.026414746902882317
0.14,1.2521739130434784,3.25257326157788,endemic_spiral,-0.006720648352331916,0.027863566941079214
0.14,1.423913043478261,3.534573133275588,endemic_spiral,-0.007193921542796168,0.029218204442795923
0.14,1.5956521739130436,3.8165730049732955,endemic_spiral,-0.007663276447316184,0.03049394014605109
0.14,1.7673913043478262,4.098572876671003,endemic_spiral,-0.008129309315712947,0.03170208670907546
0.14,1.9391304347826088,4.380572748368711,endemic_spiral,-0.00859244677019078,0.03285132193682988
0.14,2.110869565217391,4.662572620066419,endemic_spiral,-0.0090530017296063,0.03394849314646794
0.14,2.282608695652174,4.944572491764125,endemic_spiral,-0.009511208512266597,0.03499912853725031
0.14,2.4543478260869565,5.226572363461834,endemic_spiral,-0.009967245768776811,0.0360077765309587
0.14,2.626086956521739,5.508572235159541,endemic_spiral,-0.010421251806553473,0.036978239225039206
0.14,2.7978260869565217,5.790572106857249,endemic_spiral,-0.010873335201981324,0.037913737944682176
0.14,2.9695652173913043,6.072571978554956,endemic_spiral,-0.01132358227142573,0.038817033701391536
0.14,3.141304347826087,6.354571850252663,endemic_spiral,-0.011772062305372748,0.03969051691614741
0.14,3.3130434782608695,6.6365717219503715,endemic_spiral,-0.012218831366681226,0.040536275417511855
0.14,3.484782608695652,6.91857159364808,endemic_spiral,-0.012663935268133189,0.041356147021846965
0.14,3.6565217391304348,7.200571465345787,endemic_spiral,-0.013107411660742389,0.042151760716647065
0.14,3.8282608695652174,7.482571337043494,endemic_spiral,-0.01354929175967301,0.042924569392930025
0.14,4.0,7.764571208741202,endemic_spiral,-0.013989601494677588,0.043675876142326764
0.16,0.05,1.37709563385667,endemic_spiral,-0.003310774884124468,0.01437312805658985
0.16,0.2217391304347826,1.6590955055543777,endemic_spiral,-0.003895566619253463,0.01767452446438853
0.16,0.3934782608695652,1.9410953772520854,endemic_spiral,-0.004438927258053605,0.02014408318884819
0.16,0.5652173913043479,2.223095248949793,endemic_spiral,-0.0049571438528166496,0.02220676022295741
0.16,0.7369565217391305,2.5050951206475007,endemic_spiral,-0.005459395903320273,0.024019062957629074
0.16,0.9086956521739131,2.7870949923452084,endemic_spiral,-0.005950811726154414,0.0256565747925436
0.16,1.0804347826086957,3.069094864042916,endemic_spiral,-0.0064344125677756134,0.027162183294766235
0.16,1.2521739130434784,3.3510947357406233,endemic_spiral,-0.006912076480012153,0.028562972984563662
0.16,1.423913043478261,3.633094607438331,endemic_spiral,-0.0073850265591752905,0.02987739028505565
0.16,1.5956521739130436,3.9150944791360387,endemic_spiral,-0.00785409094786723,0.03111871622902866
0.16,1.7673913043478262,4.197094350833746,endemic_spiral,-0.008319849228567103,0.03229692523617588
0.16,1.9391304347826088,4.4790942225314545,endemic_spiral,-0.00878271844013211,0.03341975927157389
0.16,2.110869565217391,4.761094094229161,endemic_spiral,-0.00924300575465884,0.034493387639898135
0.16,2.282608695652174,5.043093965926868,endemic_spiral,-0.009700942097303555,0.035522832813283646
0.16,2.4543478260869565,5.325093837624577,endemic_spiral,-0.010156704234368197,0.03651225675829397
0.16,2.626086956521739,5.6070937093222835,endemic_spiral,-0.010610429331618544,0.03746516010310589
0.16,2.7978260869565217,5.889093581019992,endemic_spiral,-0.011062225501305482,0.038384524847038935
0.16,2.9695652173913043,6.1710934527177,endemic_spiral,-0.011512178779496025,0.03927291910528789
0.16,3.141304347826087,6.4530933244154065,endemic_spiral,-0.011960358392638447,0.040132575696874756
0.16,3.3130434782608695,6.735093196113115,endemic_spiral,-0.0124068205974525,0.04096545219507078
0.16,3.484782608695652,7.017093067810823,endemic_spiral,-0.012851611356288409,0.041773277669641375
0.16,3.6565217391304348,7.2990929395085296,endemic_spiral,-0.013294768557582102,0.04255758935617788
0.16,3.8282608695652174,7.581092811206237,endemic_spiral,-0.013736323672870487,0.04331976220855025
0.16,4.0,7.863092682903945,endemic_spiral,-0.014176302866005044,0.044061032527586544
0.18,0.05,1.4756171080194136,endemic_spiral,-0.0035121617358667406,0.01609096355294162
0.18,0.2217391304347826,1.7576169797171213,endemic_spiral,-0.0040930481646774125,0.018960483507361386
0.18,0.3934782608695652,2.039616851414829,endemic_spiral,-0.004633876966598495,0.021219839083847666
0.18,0.5652173913043479,2.3216167231125366,endemic_spiral,-0.005150639373186381,0.023152380416368353
0.18,0.7369565217391305,2.6036165948102443,endemic_spiral,-0.005652011345401716,0.02487339352881216
0.18,0.9086956521739131,2.885616466507952,endemic_spiral,-0.006142847133141961,0.026441871974998536
0.18,1.0804347826086957,3.1676163382056597,endemic_spiral,-0.0066260270125675855,0.027892631010595838
0.18,1.2521739130434784,3.449616209903367,endemic_spiral,-0.0071033549376162824,0.02924829950049746
0.18,1.423913043478261,3.7316160816010746,endemic_spiral,-0.007576013669645375,0.030524633438883945
0.18,1.5956521739130436,4.013615953298782,endemic_spiral,-0.008044808894338906,0.03173317692053033
0.18,1.7673913043478262,4.29561582499649,endemic_spiral,-0.00851030735052254,0.03288272354769986
0.18,1.9391304347826088,4.577615696694197,endemic_spiral,-0.008972918546151516,0.03398017904414345
0.18,2.110869565217391,4.859615568391905,endemic_spiral,-0.009432945471516255,0.035031100513394926
0.18,2.282608695652174,5.141615440089613,endemic_spiral,-0.009890616568017662,0.03604004983511029
0.18,2.4543478260869565,5.42361531178732,endemic_spiral,-0.010346107173396443,0.03701083439898926
0.18,2.626086956521739,5.705615183485027,endemic_spiral,-0.010799553958085404,0.037946676540757555
0.18,2.7978260869565217,5.987615055182736,endemic_spiral,-0.0112510646655457,0.03885033608701482
0.18,2.9695652173913043,6.269614926880443,endemic_spiral,-0.011700725333789266,0.039724201238533825
0.18,3.141304347826087,6.55161479857815,endemic_spiral,-0.012148605342437476,0.04057035721380516
0.18,3.3130434782608695,6.833614670275859,endemic_spiral,-0.01259476112051761,0.04139063915012898
0.18,3.484782608695652,7.115614541973566,endemic_spiral,-0.013039238905683752,0.04218667350832968
0.18,3.6565217391304348,7.397614413671273,endemic_spiral,-0.013482076882473288,0.042959910787721475
0.18,3.8282608695652174,7.679614285368981,endemic_spiral,-0.01392330677979042,0.043711651982754354
0.18,4.0,7.9616141570666885,endemic_spiral,-0.014362955014187263,0.04444306990099925
0.2,0.05,1.5741385821821572,endemic_spiral,-0.003710970552483185,0.017618743617847113
0.2,0.2217391304347826,1.8561384538798649,endemic_spiral,-0.004288944816569924,0.020161717874118325
0.2,0.3934782608695652,2.1381383255775726,endemic_spiral,-0.004827883287507349,0.022245561953667604
0.2,0.5652173913043479,2.4201381972752802,endemic_spiral,-0.0053435383485868305,0.024063947170691345
0.2,0.7369565217391305,2.702138068972988,endemic_spiral,-0.005844225282231128,0.025702517191665865
0.2,0.9086956521739131,2.9841379406706956,endemic_spiral,-0.006334597000672267,0.02720746167976433
0.2,1.0804347826086957,3.2661378123684033,endemic_spiral,-0.006817428445944724,0.028607071618114627
0.2,1.2521739130434784,3.5481376840661105,endemic_spiral,-0.0072944676336877895,0.029920255134908126
0.2,1.423913043478261,3.830137555763818,endemic_spiral,-0.007766866943342964,0.031160466301337918
0.2,1.5956521739130436,4.112137427461526,endemic_spiral,-0.008235415103420773,0.03233773491684952
0.2,1.7673913043478262,4.394137299159233,endemic_spiral,-0.008700669400547143,0.03345980975010296
0.2,1.9391304347826088,4.676137170856942,endemic_spiral,-0.009163033965867365,0.034532847560170374
0.2,2.110869565217391,4.9581370425546485,endemic_spiral,-0.009622808762171444,0.03556185167675016
0.2,2.282608695652174,5.240136914252355,endemic_spiral,-0.010080220715557444,0.03655096388948799
0.2,2.4543478260869565,5.522136785950064,endemic_spiral,-0.010535444533307514,0.03750366588009378
0.2,2.626086956521739,5.804136657647771,endemic_spiral,-0.010988616379686632,0.03842292274229497
0.2,2.7978260869565217,6.086136529345479,endemic_spiral,-0.01143984417775787,0.03931128791125413
0.2,2.9695652173913043,6.368136401043187,endemic_spiral,-0.01188921411270303,0.04017098164000123
0.2,3.141304347826087,6.650136272740894,endemic_spiral,-0.012336795854843468,0.0410039508260572
0.2,3.3130434782608695,6.932136144438602,endemic_spiral,-0.012782646163002141,0.04181191546917285
0.2,3.484782608695652,7.21413601613631,endemic_spiral,-0.013226811619844115,0.04259640514982036
0.2,3.6565217391304348,7.496135887834017,endemic_spiral,-0.013669330741568014,0.04335878829781961
0.2,3.8282608695652174,7.778135759531724,endemic_spiral,-0.01411023564635853,0.0441002957318639
0.2,4.0,8.060135631229432,endemic_spiral,-0.014549553011156797,0.0448220398508228
0.22,0.05,1.6726600563449003,endemic_spiral,-0.0039076952763784445,0.01900623231911655
0.22,0.2217391304347826,1.954659928042608,endemic_spiral,-0.0044834858710089565,0.021292644852957253
0.22,0.3934782608695652,2.2366597997403157,endemic_spiral,-0.00502103562174481,0.023227406578851428
0.22,0.5652173913043479,2.5186596714380234,endemic_spiral,-0.005535870951242146,0.024944698694739764
0.22,0.7369565217391305,2.800659543135731,endemic_spiral,-0.006036042294186426,0.026508374986447224
0.22,0.9086956521739131,3.0826594148334383,endemic_spiral,-0.006526054709716865,0.027954615044757478
0.22,1.0804347826086957,3.364659286531146,endemic_spiral,-0.007008605419542081,0.029306392115710074
0.22,1.2521739130434784,3.6466591582288537,endemic_spiral,-0.007485401395543739,0.03057948894979903
0.22,1.423913043478261,3.9286590299265614,endemic_spiral,-0.007957572833386207,0.03178538157937669
0.22,1.5956521739130436,4.210658901624269,endemic_spiral,-0.008425896465607968,0.03293277532864624
0.22,1.7673913043478262,4.492658773321977,endemic_spiral,-0.008890922941394135,0.03402849201930382
0.22,1.9391304347826088,4.774658645019684,endemic_spiral,-0.009353053009039658,0.03507801630701459
0.22,2.110869565217391,5.056658516717391,endemic_spiral,-0.009812584875187998,0.036085849801999914
0.22,2.282608695652174,5.338658388415099,endemic_spiral,-0.010269744709920633,0.037055750550057984
0.22,2.4543478260869565,5.620658260112807,endemic_spiral,-0.010724706865750944,0.037990900674816044
0.22,2.626086956521739,5.902658131810513,endemic_spiral,-0.011177607938352943,0.03889402733036375
0.22,2.7978260869565217,6.184658003508222,endemic_spiral,-0.011628555967854672,0.039767492025464486
0.22,2.9695652173913043,6.4666578752059305,endemic_spiral,-0.012077637625427583,0.04061335812245248
0.22,3.141304347826087,6.748657746903637,endemic_spiral,-0.012524923078144484,0.041433442829050246
0.22,3.3130434782608695,7.030657618601346,endemic_spiral,-0.012970469273872368,0.04222935770298326
0.22,3.484782608695652,7.312657490299053,endemic_spiral,-0.013414323534452554,0.04300254094669689
